diputado_id,diputado_apellido,diputado_nombre,diputado_genero,diputado_distrito,mandato_inicio,mandato_fin,diputado_juramento,diputado_cese,diputado_bloque,bloque_inicio,bloque_fin
HCDN1164,FADUL,LILIANA,F,TIERRA DEL FUEGO,2009-12-10T00:00:00,2013-12-09T00:00:00,2009-12-03T00:00:00,2013-12-09T00:00:00,PARTIDO FEDERAL FUEGUINO,2009-12-10T00:00:00,2013-12-09T00:00:00
HCDN2844,FAGIOLI,FEDERICO,M,BUENOS AIRES,2019-12-10T00:00:00,2023-12-09T00:00:00,2019-12-19T00:00:00,2023-12-09T00:00:00,FRENTE DE TODOS,2019-12-19T14:50:57,2023-12-09T00:00:00
HCDN1165,FAUSTINELLI,HIPOLITO,M,CORDOBA,2009-12-10T00:00:00,2013-12-09T00:00:00,2009-12-03T00:00:00,2013-12-09T00:00:00,UCR,2009-12-10T00:00:00,2013-12-09T00:00:00
HCDN1166,FAVARIO,CARLOS ALBERTO,M,SANTA FE,2009-12-10T00:00:00,2013-12-09T00:00:00,2009-12-03T00:00:00,2013-12-09T00:00:00,DEMOCRATA PROGRESISTA,2009-12-10T00:00:00,2013-12-09T00:00:00
HCDN0990,FEIN,MONICA HAYDE,F,SANTA FE,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-05T00:00:00,2011-12-09T00:00:00,PARTIDO SOCIALISTA,2007-12-10T00:00:00,2011-12-09T00:00:00
HCDN1258,FELETTI,ROBERTO JOSE,M,CIUDAD DE BUENOS AIRES,2011-12-10T00:00:00,2015-12-09T00:00:00,2011-12-06T00:00:00,2015-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2011-12-10T00:00:00,2015-12-09T00:00:00
HCDN1167,Felix,Omar Chafi,M,MENDOZA,2009-12-10T00:00:00,2013-12-09T00:00:00,2009-12-03T00:00:00,2013-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2009-12-10T00:00:00,2013-12-09T00:00:00
HCDN1167,Felix,Omar Chafi,M,MENDOZA,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,SOMOS MENDOZA,2017-12-10T00:00:00,2019-12-09T00:00:00
HCDN1167,Felix,Omar Chafi,M,MENDOZA,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,FRENTE DE TODOS,2019-12-10T00:00:00,2021-12-09T00:00:00
HCDN1033,FELLNER,EDUARDO ALFREDO,M,JUJUY,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-05T00:00:00,2011-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2007-12-10T00:00:00,2011-12-09T00:00:00
HCDN2815,FERNANDEZ,EDUARDO,M,CORDOBA,2019-12-10T00:00:00,2023-12-09T00:00:00,2019-12-04T00:00:00,2023-12-09T00:00:00,FRENTE DE TODOS,2019-12-10T00:00:00,2023-12-09T00:00:00
HCDN2852,FERNANDEZ,HECTOR,M,BUENOS AIRES,2017-12-10T00:00:00,2021-12-09T00:00:00,2019-12-19T00:00:00,2021-12-09T00:00:00,FRENTE DE TODOS,2019-12-19T14:58:06,2021-12-09T00:00:00
